advise,"v. 충고하다, 조언하다",,
include,v. 포함하다,,
product,"n. 제품, 생산품, 결과",,
belief,"n. 믿음, 신념, 신앙",,
produce,v. 생산하다,,
production,n. 생산(량),,
similar,"a. 비슷한, 유사한",,
similarity,n. 유사점,,
similarily,"ad. 비슷하게, 유사하게",,
moment,"n. 순간, 중요성",,
momentary ,a. 순간적인,,
momentous,a. 종대한,,
situation,"n. 상황, 위치",,
situate,"v. ~의 위치를 정하다, ~을 (어떤 장소에) 두다",,
improve,"v. 개선하다, 향상하다",,
advice,"n.충고, 조언",,
related,"a. 관련된, 친족의",,
relative,"n. 친족, 친척
a. 상대적인, 관계 있는",,
increase,"v. 증가하다, 증가시키다
n. 증가, 인상",,
decrease ,"v. 감소하다, 감소시키다
n. 감소, 축소",,
share,"v. 나누다, 공유하다.
n. 몫",,
emotion,"n. 감정, 정서",,
emotional,"a. 감정의, 정서의",,
emotionally,ad. 감정적으로,,
drop,"vi. 떨어지다, 떨어트리다
n. 방울, 하락",,
common,"a. 흔한, 보통의, 공통의",,
common sense,상식,,
recover,"v. 회복하다, 복구되다","he recovered a stolen wallet.
그는 도둑맞은 지갑을 도로  찾았다.",
return,"v. 돌아오다, 돌려주다
n. 귀환, 반환",,
advanced,"a. 진보한, 상급의",,
advance ,"v. 나아가게 하다
n. 전진, 발전",,
reject,v. 거절하다,,
rejection,"n. 거절, 거부",,
refuse,"v. 거절하다, 거부하다",,
accept,v. 받아들이다. 수락하다,,
acceptance,"n. 수락, 동의",,
cause,"v. 원인이 되다, 초래하다
n. 원인",,
indifferent,a. 무관심한,,
indifference,n. 무관심,,
experience,"v. 경험하다
n. 경험",,
certain,"a. 확실한, 확신하는, 어떤",,
certainty,n. 확실성,,
consider,"v. 고려하다, ~으로 여기다",,
consideration,n. 고려,,
supply,"v. 공급하다, 제공하다
n. 공급",,
provide,"v. 공급하다, 제공하다, 대비하다",,
provision,"n. 공급, 준비, (법)조항",,
practical,"a. 실용적인, 실제적인",,
practice,"n. 실행, 관습, 연습",,
express,"v. 표현하다, 나타내다, 속달로 보내다
a. 급행의, 신속한
n. 급행, 속달",,
expression,"n. 표현, 표정",,
quantity,"n. 양, 수량",,
quality ,"a. 질, 고급의",,
superior,"a. 뛰어난, 우월한, 상급의
n. 윗사람, 상급자",,
inferior,"a. 열등한, 하위의
n. 손아랫사람, 하급자",,
select,"v. 선택하다, 선발하다
a. 선택된, 선발된",,
selection,"n. 선택, 선발",,
fade,"v. 희미해지다, 사라지다",,
diappear,"v. 사라지다, 없어지다",,#1V
emerge,v. 나타나다. 나오다,,#1V
obey,"v. 복종하다, 따르다",,
obedient,a. 순종하는,,
success,"n. 성공, 성공작",,
succeed,"v. 성공하다, 계승하다","
",
faileure,"n. 실패, 실패작, 고장",,
