index,word,mean,commentary
286,SNOUT,주둥이,, - 
287,TROPE,문채,,- 
288,FEWER,더 적은,, - 
289,SHAWL,숄,, - 
290,NATAL,출생의,, - 
291,COMMA,반점,, - 
292,FORAY,침략,, - 
293,SCARE,두려움,, - 
294,STAIR,계단,, - 
295,BLACK,검정색,, - 
296,SQUAD,분대,, - 
297,ROYAL,왕실의,, - 
298,CHUNK,큰 덩어리,, - 
299,MINCE,잘게 썬 고기,, - 
300,SHAME,부끄러움,, - 
301,CHEEK,뺨,, - 
302,AMPLE,충분한,, - 
303,FLAIR,재주,, - 
304,FOYER,현관,, - 
305,CARGO,화물,, - 
306,OXIDE,산화물,, - 
307,PLANT,식물,, - 
308,OLIVE,올리브,, - 
309,INERT,기력이 없는,, - 
310,ASKEW,삐딱하게,, - 
311,HEIST,강도,, - 
312,ZESTY,자극을 주는,, - 
313,TRASH,쓰레기,, - 
314,LARVA,애벌레,, - 
